l,t
1000,13.280256032943726
2000,25.21434783935547
3000,37.14537048339844
4000,49.0643093585968
5000,66.9816484451294
6000,78.82646179199219
7000,90.77166604995728
8000,102.68222093582153
9000,117.10497808456421
10000,129.1349139213562
11000,141.07358193397522
12000,153.05811095237732
13000,167.35143899917603
14000,179.35155248641968
15000,191.31297039985657
16000,203.29915046691895
17000,218.76220631599426
18000,230.8577117919922
19000,243.2182195186615
20000,255.37286472320557
21000,268.851087808609
22000,281.13618636131287
23000,293.28355884552
24000,305.4529297351837
25000,319.6937515735626
26000,331.9300570487976
27000,344.04296350479126
28000,356.2459931373596
29000,372.10098123550415
30000,384.17535948753357
31000,396.41323924064636
32000,408.6489312648773
33000,422.6892635822296
34000,434.66177248954773
35000,446.67578125
36000,458.89890909194946
37000,473.2270929813385
38000,485.4044580459595
39000,497.407790184021
40000,509.7697722911835
41000,523.4789390563965
42000,535.7068645954132
43000,547.7529363632202
44000,559.9724569320679
45000,572.181533575058
46000,585.556458234787
47000,597.9010031223297
48000,610.0707523822784
49000,622.485161781311
50000,636.1507654190063
51000,648.3072090148926
52000,660.5765943527222
53000,672.7383961677551
54000,689.0368821620941
55000,700.9754505157471
56000,713.2175569534302
57000,725.4215104579926
58000,739.6315114498138
59000,751.8910217285156
60000,764.4266180992126
61000,776.585615158081
62000,790.1964893341064
63000,802.6018173694611
64000,814.991947889328
65000,827.3208975791931
66000,840.9376685619354
67000,853.0197541713715
68000,865.2978360652924
69000,877.7049496173859
70000,891.0675902366638
71000,903.5527312755585
72000,915.6456875801086
73000,927.6975705623627
74000,941.0420746803284
75000,953.1587517261505
76000,965.6945369243622
77000,977.8871421813965
78000,992.891762971878
79000,1005.4427080154419
80000,1017.8024065494537
81000,1029.9080021381378
82000,1045.3574676513672
83000,1057.6815650463104
84000,1069.9612624645233
85000,1082.0946114063263
86000,1094.3427515029907
87000,1108.3086383342743
88000,1120.5515999794006
89000,1132.7957861423492
90000,1145.1545157432556
91000,1159.4326090812683
92000,1171.8352422714233
93000,1184.1104745864868
94000,1196.3943011760712
95000,1210.346878528595
96000,1222.8133401870728
97000,1234.8853342533112
98000,1246.9962885379791
99000,1260.7256417274475
100000,1272.9027342796326
101000,1285.1380379199982
102000,1297.3386085033417
103000,1311.5355775356293
104000,1323.6966290473938
105000,1335.9965827465057
106000,1348.2883622646332
107000,1361.4240536689758
108000,1373.5372993946075
109000,1385.4788060188293
110000,1397.5571942329407
111000,1411.1329383850098
112000,1423.4075167179108
113000,1435.6521339416504
114000,1447.8925142288208
115000,1461.0611062049866
116000,1473.089497089386
117000,1485.1956787109375
118000,1497.5395021438599
119000,1511.9339854717255
120000,1524.2035160064697
121000,1536.5498790740967
122000,1548.9237673282623
123000,1562.172560930252
124000,1574.3955461978912
125000,1586.6255116462708
126000,1598.7966911792755
127000,1612.7170751094818
128000,1625.0076489448547
129000,1637.404444694519
130000,1649.4538011550903
131000,1661.6938061714172
132000,1674.9743585586548
133000,1687.1700911521912
134000,1699.294138431549
135000,1711.448879480362
136000,1725.5032470226288
137000,1737.5025067329407
138000,1749.8846440315247
139000,1762.1616821289062
140000,1776.203200340271
141000,1788.3819026947021
142000,1800.4283239841461
143000,1812.4135060310364
144000,1825.5547547340393
145000,1837.7255308628082
146000,1849.7658522129059
147000,1861.728000164032
148000,1874.7409727573395
149000,1886.7049942016602
150000,1898.6271305084229
151000,1910.9645419120789
152000,1924.6345036029816
153000,1936.5847368240356
154000,1948.5399630069733
155000,1960.463961839676
156000,1975.2642867565155
157000,1987.385825395584
158000,1999.3788676261902
159000,2011.314721107483
160000,2025.6352362632751
161000,2037.7739992141724
162000,2049.8681302070618
163000,2061.8639113903046
164000,2076.735812664032
165000,2088.7288122177124
166000,2100.646057844162
167000,2112.9421830177307
168000,2127.7151272296906
169000,2139.567095041275
170000,2151.5410792827606
171000,2163.5848066806793
172000,2175.5854122638702
173000,2191.156843185425
174000,2203.0971200466156
175000,2215.039221048355
176000,2226.9269936084747
177000,2241.491874933243
178000,2253.556845188141
179000,2265.512105703354
180000,2277.4217517375946
181000,2291.7992668151855
182000,2303.8376631736755
183000,2316.0314481258392
184000,2328.238891363144
185000,2341.3378818035126
186000,2353.3481640815735
187000,2365.2334530353546
188000,2377.222069978714
189000,2391.0341885089874
190000,2403.2155170440674
191000,2415.565178155899
192000,2427.691337823868
193000,2441.5907304286957
194000,2453.520466566086
195000,2465.4270436763763
196000,2477.5293571949005
197000,2491.291550397873
198000,2503.2768075466156
199000,2515.1727108955383
200000,2527.106997013092
201000,2541.577871322632
202000,2553.6594381332397
203000,2565.720217227936
204000,2577.911916732788
205000,2591.0027179718018
206000,2602.9930102825165
207000,2614.9652292728424
208000,2626.9092874526978
209000,2641.1071043014526
210000,2653.2521798610687
211000,2665.1278529167175
212000,2677.0413916110992
213000,2690.2918176651
214000,2702.282792329788
215000,2714.3835895061493
216000,2726.518190383911
217000,2738.588192462921
218000,2751.7114250659943
219000,2763.663646221161
220000,2775.567795753479
221000,2787.530079603195
222000,2802.9821372032166
223000,2815.0686593055725
224000,2826.9943079948425
225000,2838.980676651001
226000,2852.9698650836945
227000,2864.996936559677
228000,2877.1152436733246
229000,2889.2655720710754
230000,2902.7442977428436
231000,2914.749942779541
232000,2926.730286836624
233000,2938.6032559871674
234000,2952.0382401943207
235000,2964.2366859912872
236000,2976.186808347702
237000,2988.0743169784546
238000,3001.1953403949738
239000,3013.102832555771
240000,3025.2997632026672
241000,3037.2711358070374
242000,3050.5193231105804
243000,3062.39524269104
244000,3074.3234128952026
245000,3086.471843481064
246000,3099.761746406555
247000,3111.7006249427795
248000,3123.614240169525
249000,3135.5584535598755
250000,3149.0536046028137
251000,3161.2302570343018
252000,3173.374046087265
253000,3185.3947460651398
254000,3200.337821483612
255000,3212.2946286201477
256000,3224.3401141166687
257000,3236.4551751613617
258000,3248.3876836299896
259000,3261.7078301906586
260000,3273.683573484421
261000,3285.570296764374
262000,3297.654229402542
263000,3310.85968375206
264000,3322.8971066474915
265000,3334.828877210617
266000,3346.7442812919617
267000,3362.2523415088654
268000,3374.317885875702
269000,3386.316531419754
270000,3398.246625185013
271000,3411.479454755783
272000,3423.357436656952
273000,3435.4101157188416
274000,3447.3970444202423
275000,3460.3119287490845
276000,3472.2031457424164
277000,3484.252669095993
278000,3496.3371255397797
279000,3509.5408675670624
280000,3521.5065450668335
281000,3533.365801334381
282000,3545.345315217972
283000,3560.6741688251495
284000,3572.5315527915955
285000,3584.469244480133
286000,3596.4053835868835
287000,3609.5565326213837
288000,3621.569908618927
289000,3633.4615371227264
290000,3645.341834783554
291000,3658.614604949951
292000,3670.517122745514
293000,3682.6109347343445
294000,3694.519102573395
295000,3707.9758706092834
296000,3720.0952441692352
297000,3732.0407540798187
298000,3743.902934074402
299000,3755.75870513916
300000,3770.5752396583557
301000,3782.491303920746
302000,3794.4340646266937
303000,3806.35947060585
304000,3819.672446489334
305000,3831.7217211723328
306000,3843.8264791965485
307000,3855.7997410297394
308000,3869.013319015503
309000,3880.9962310791016
310000,3893.0084416866302
311000,3905.0801362991333
312000,3918.1753838062286
313000,3930.067095518112
314000,3941.9799740314484
315000,3954.107980966568
316000,3969.382604598999
317000,3981.2890174388885
318000,3993.28280377388
319000,4005.180050134659
320000,4018.329667329788
321000,4030.428899526596
322000,4042.3512423038483
323000,4054.29731798172
324000,4067.5032982826233
325000,4079.556391954422
326000,4091.4298713207245
327000,4103.321530342102
328000,4116.582826375961
329000,4128.624179363251
330000,4140.656880617142
331000,4152.61127948761
332000,4167.572403430939
333000,4179.540140390396
334000,4191.540781021118
335000,4203.588943243027
336000,4216.607291698456
337000,4228.577159166336
338000,4240.554885864258
339000,4252.522362470627
340000,4265.721796274185
341000,4277.834543466568
342000,4290.02215719223
343000,4301.966959476471
344000,4314.091524600983
345000,4330.083935976028
346000,4342.140476942062
347000,4354.051757574081
348000,4365.899178266525
349000,4378.953421115875
350000,4391.000209093094
351000,4403.111312866211
352000,4415.093502044678
353000,4428.601472616196
354000,4440.517945766449
355000,4452.518680334091
356000,4464.783535957336
357000,4478.311376094818
358000,4490.4060208797455
359000,4502.394976377487
360000,4514.335258245468
361000,4527.370886802673
362000,4539.323392629623
363000,4551.309578180313
364000,4563.392389059067
365000,4576.42902636528
366000,4588.414318084717
367000,4600.374075889587
368000,4612.429681301117
369000,4625.801467657089
370000,4637.841342449188
371000,4649.760021686554
372000,4661.762685060501
373000,4675.256135702133
374000,4687.315618276596
375000,4699.431462526321
376000,4711.323348283768
377000,4724.932441949844
378000,4736.812374830246
379000,4748.549716472626
380000,4760.285966396332
381000,4773.059365510941
382000,4784.937900066376
383000,4796.67848777771
384000,4808.404678583145
385000,4820.186972856522
386000,4833.277268409729
387000,4845.332149744034
388000,4857.3299679756165
389000,4868.970154285431
390000,4882.1651129722595
391000,4893.923403978348
392000,4905.70630812645
393000,4917.434648990631
394000,4931.733325958252
395000,4943.319167137146
396000,4954.781297683716
397000,4966.2841420173645
398000,4978.891800165176
399000,4990.36513376236
400000,5001.81415104866
401000,5013.2761063575745
402000,5025.909929513931
403000,5037.485679149628
404000,5048.974160671234
405000,5060.423284769058
406000,5072.898715257645
407000,5084.447585582733
408000,5096.1499218940735
409000,5111.940628051758
410000,5124.4194457530975
411000,5135.957658290863
412000,5147.387400865555
413000,5158.867745399475
414000,5171.4111342430115
415000,5183.03974199295
416000,5194.459923028946
417000,5205.975439310074
418000,5218.549770593643
419000,5230.052424192429
420000,5241.662539482117
421000,5253.430266618729
422000,5265.965065956116
423000,5277.665836811066
424000,5289.166886329651
425000,5300.651041507721
426000,5313.116657495499
427000,5324.561451435089
428000,5335.998243093491
429000,5347.559371232986
430000,5359.022807836533
431000,5371.393039226532
432000,5382.780909538269
433000,5394.237073421478
434000,5405.7538731098175
435000,5422.275241136551
436000,5433.933135509491
437000,5445.7525753974915
438000,5457.36257314682
439000,5469.873824119568
440000,5481.511376142502
441000,5493.255490064621
442000,5504.782146692276
443000,5517.172070503235
444000,5528.735513210297
445000,5540.156065225601
446000,5551.667983531952
447000,5564.095364332199
448000,5575.521646499634
449000,5586.989268779755
450000,5598.417308092117
451000,5610.9234790802
452000,5622.31364107132
453000,5633.800642967224
454000,5645.161418437958
455000,5657.746617794037
456000,5669.267660856247
457000,5680.6816194057465
458000,5692.113179922104
459000,5704.5028302669525
460000,5719.967104434967
461000,5731.537200212479
462000,5743.006767749786
463000,5755.389292001724
464000,5766.7992260456085
465000,5778.2497527599335
466000,5789.648232460022
467000,5802.080053806305
468000,5813.825987815857
469000,5825.401502609253
470000,5836.8050537109375
471000,5848.201725244522
472000,5860.650226593018
473000,5872.070326805115
474000,5883.627610206604
475000,5895.266219377518
476000,5907.6621696949005
477000,5919.140055656433
478000,5930.589606523514
479000,5942.144040822983
480000,5954.7619705200195
481000,5966.378034830093
482000,5978.020333528519
483000,5989.7192549705505
484000,6002.289849758148
485000,6018.211699962616
486000,6029.713173866272
487000,6041.1842613220215
488000,6054.06875371933
489000,6065.775408506393
490000,6077.188569307327
491000,6088.764790058136
492000,6101.232872247696
493000,6112.732997179031
494000,6124.265507698059
495000,6136.005911827087
496000,6148.518270492554
497000,6160.04065990448
498000,6171.611175537109
499000,6183.145478963852
500000,6195.794592142105
501000,6207.313443183899
502000,6218.925134420395
503000,6230.4324107170105
504000,6242.803692340851
505000,6254.438742637634
506000,6265.890678882599
507000,6277.423618793488
508000,6290.039964675903
509000,6301.603869438171
510000,6313.124830245972
511000,6329.099813938141
512000,6340.821770906448
513000,6353.262384653091
514000,6364.661505222321
515000,6376.16480922699
516000,6387.630847454071
517000,6400.182579755783
518000,6411.753680229187
519000,6423.275439500809
520000,6434.661814451218
521000,6447.093646526337
522000,6458.594812870026
523000,6470.044805049896
524000,6481.6268808841705
525000,6494.222480535507
526000,6505.685972690582
527000,6517.122120857239
528000,6528.854850292206
529000,6541.299441099167
530000,6552.747683286667
531000,6564.28723526001
532000,6575.830331087112
533000,6588.358110189438
534000,6599.757631778717
535000,6611.2268233299255
536000,6627.301149606705
537000,6639.868225812912
538000,6651.426919460297
539000,6662.974991559982
540000,6674.768248081207
541000,6687.233789205551
542000,6698.838111162186
543000,6710.335294246674
544000,6721.7451384067535
545000,6734.303437232971
546000,6745.878405332565
547000,6757.363078832626
548000,6769.160897016525
549000,6781.772372722626
550000,6793.306524038315
551000,6804.954908132553
552000,6816.698311090469
553000,6829.194657802582
554000,6840.808901786804
555000,6852.369073629379
556000,6863.843864440918
557000,6875.5028755664825
558000,6887.95205616951
559000,6899.690270900726
560000,6911.324491739273
561000,6927.187333583832
562000,6939.974031448364
563000,6951.512016534805
564000,6962.912519693375
565000,6974.426796197891
566000,6986.853084564209
567000,6998.395637273788
568000,7009.8831741809845
569000,7021.318677186966
570000,7033.70871925354
571000,7045.123421907425
572000,7056.84584903717
573000,7068.307846546173
574000,7080.686204910278
575000,7092.183522701263
576000,7103.6683304309845
577000,7115.230434179306
578000,7127.645213365555
579000,7139.27619767189
580000,7150.8376631736755
581000,7162.235404729843
582000,7174.695157527924
583000,7186.114863395691
584000,7197.697084188461
585000,7209.297601699829
586000,7221.908737182617
587000,7238.055400133133
588000,7249.596733570099
589000,7261.277417421341
590000,7273.7655148506165
591000,7285.205292463303
592000,7296.621597290039
593000,7308.160086393356
594000,7320.675044298172
595000,7332.309005022049
596000,7343.764106988907
597000,7355.258377075195
598000,7366.697866201401
599000,7379.182201385498
600000,7390.673046588898
601000,7402.22283244133
602000,7413.869605302811
603000,7426.443277835846
604000,7438.082133054733
605000,7449.582548379898
606000,7461.081471204758
607000,7473.595084905624
608000,7485.1202480793
609000,7496.640461683273
610000,7508.225539684296
611000,7520.780177593231
612000,7536.725215673447
613000,7548.196538925171
614000,7559.6324734687805
615000,7572.07376909256
616000,7583.496188879013
617000,7595.058713436127
618000,7606.603981733322
619000,7619.056059598923
620000,7630.533004283905
621000,7641.920793056488
622000,7653.368286848068
623000,7665.848984241486
624000,7677.295655012131
625000,7688.671040534973
626000,7700.056017160416
627000,7712.578746080399
628000,7724.058139801025
629000,7735.817804813385
630000,7747.260471582413
631000,7759.595169067383
632000,7770.959800720215
633000,7782.363213777542
634000,7793.780938386917
635000,7806.09601855278
636000,7817.5750687122345
637000,7832.467149972916
638000,7844.796608448029
639000,7857.333140850067
640000,7868.721967220306
641000,7880.242245435715
642000,7891.7289271354675
643000,7903.1168801784515
644000,7915.474767923355
645000,7926.857120752335
646000,7938.269456624985
647000,7949.648098230362
648000,7962.107639789581
649000,7973.564964294434
650000,7985.027423381805
651000,7996.412390947342
652000,8008.814556121826
653000,8020.252683639526
654000,8031.690440416336
655000,8043.29211640358
656000,8055.775904178619
657000,8067.48547244072
658000,8078.957693338394
659000,8090.472954034805
660000,8102.886618852615
661000,8114.433743238449
662000,8127.234461784363
663000,8141.93652677536
664000,8154.354856491089
665000,8165.822244644165
666000,8177.346495389938
667000,8188.896229982376
668000,8201.455862283707
669000,8213.085527420044
670000,8224.66500377655
671000,8236.108516216278
672000,8248.580617666245
673000,8260.10995554924
674000,8271.553447723389
675000,8282.936100959778
676000,8295.272018432617
677000,8306.693017959595
678000,8318.125654697418
679000,8329.7110247612
680000,8342.20269870758
681000,8353.76840186119
682000,8365.255225658417
683000,8376.67375779152
684000,8388.053526639938
685000,8400.495243787766
686000,8411.886927127838
687000,8423.299070596695
688000,8439.162497758865
689000,8451.812177181244
690000,8463.484605550766
691000,8475.058527469635
692000,8486.566435813904
693000,8498.930943250656
694000,8510.324115753174
695000,8521.827984809875
696000,8533.687802314758
697000,8546.254705190659
698000,8557.9218313694
699000,8569.443448543549
700000,8580.929956436157
701000,8593.620671272278
702000,8605.204963684082
703000,8616.664306640625
704000,8628.142295360565
705000,8640.681139230728
706000,8652.11285829544
707000,8663.66217136383
708000,8675.135810136795
709000,8687.634853839874
710000,8699.29073548317
711000,8710.876883745193
712000,8722.494665145874
713000,8736.128021717072
714000,8751.046744823456
715000,8762.566872119904
716000,8774.210593700409
717000,8786.84518289566
718000,8798.464706659317
719000,8810.004297733307
720000,8821.586578130722
721000,8834.171758890152
722000,8845.865634679794
723000,8857.608653068542
724000,8869.350240707397
725000,8881.870314121246
726000,8893.472823143005
727000,8905.070019483566
728000,8916.583451747894
729000,8928.116493940353
