r,l,t
712.373526096344,4500,60.94364333152771
706.6821294426918,4500,117.10692572593689
1659.0430213809013,4500,173.30147790908813
701.9393029212952,4500,230.8587989807129
608.979766368866,350,235.2335283756256
692.4536347389221,4500,291.4287078380585
701.939296245575,4500,348.33739590644836
706.6821348071098,4500,406.7566854953766
645.9738610982895,168,408.8715400695801
3167.263916313648,4500,465.3855354785919
656.4080939888954,251,468.47287821769714
3739.2495876550674,4366,525.1566054821014
1966.3785881996155,906,536.1877059936523
4149.9789199233055,4485,591.9715538024902
774.0303547978401,137,593.7465889453888
4143.338954269886,2161,620.2819128036499
3733.558182179928,773,631.1311359405518
4147.133222877979,1870,654.0956561565399
4148.081782579422,1681,674.5620903968811
3631.112981915474,536,685.1098957061768
730.3962885141373,135,686.7692120075226
4241.041318953037,1703,707.3076467514038
4244.83558434248,1139,721.2388155460358
3745.889542758465,2626,755.375913143158
597.5969640016556,92,756.6135692596436
5148.819574415684,4500,813.3829386234283
2153.246205329895,316,817.4040124416351
609.9283293485641,88,818.5391116142273
4250.526979088783,3435,861.7301251888275
633.6424993872643,99,863.0025653839111
3746.8381087183952,610,870.5445952415466
635.5396313071251,74,871.5143477916718
620.3625646829605,81,872.5694944858551
3739.249587059021,966,884.305009841919
4248.629848957062,875,896.2967789173126
4259.064084351063,579,903.574517250061
5135.5396473407745,4500,959.4238250255585
3747.7866898179054,504,965.765508890152
3741.1467084288597,2009,993.0701086521149
4246.732717096806,578,1000.3011386394501
4157.567460298538,554,1007.1846771240234
2203.5202373862267,491,1013.3065271377563
2559.232718527317,345,1017.5385320186615
5168.739466547966,4500,1075.7598435878754
630.7967953681946,88,1076.9003438949585
5104.23692959547,4500,1133.6746151447296
1029.1947767138481,132,1135.3540301322937
3740.198145389557,431,1140.6434071063995
4153.773188352585,644,1150.5022122859955
3743.043845295906,902,1161.6072220802307
5119.414010584354,4500,1218.6854507923126
1031.091905117035,96,1219.9890542030334
1031.0919045209885,117,1221.4489545822144
5047.322948753834,4500,1277.718584537506
4147.133226156235,808,1287.5490500926971
5163.04808306694,4500,1344.5659642219543
5109.928340733051,4500,1400.0203669071198
3737.35244256258,1324,1417.5749809741974
3739.2495842576027,617,1425.0992386341095
5060.602871894836,4500,1480.7551741600037
3657.6728519797325,1153,1494.9065833091736
638.3853303194046,76,1495.8936605453491
640.2824635505676,82,1496.9207623004913
644.0767284035683,74,1497.8658769130707
3738.3010197877884,1167,1514.322245836258
643.1281606554985,72,1515.269874572754
3748.7352459430695,405,1520.2199523448944
4164.20742058754,535,1526.7047717571259
