l,t
1000,13.47645378112793
2000,25.783130884170532
3000,38.325135469436646
4000,51.175968170166016
5000,64.2392475605011
6000,77.19045972824097
7000,89.8511950969696
8000,102.549720287323
9000,115.65864729881287
10000,128.58253288269043
11000,141.39470195770264
12000,154.12833881378174
13000,166.71248531341553
14000,179.58843064308167
15000,192.36573457717896
16000,204.67222213745117
17000,217.2529637813568
18000,229.61811470985413
19000,242.39869928359985
20000,255.12519311904907
21000,305.784508228302
22000,358.09003615379333
23000,409.4713349342346
24000,462.4772868156433
25000,514.855678319931
26000,568.2559185028076
27000,620.2548332214355
28000,671.538568019867
29000,721.9059708118439
30000,773.3261244297028
31000,824.4960649013519
32000,875.5720016956329
33000,927.0801157951355
34000,977.8299527168274
35000,1028.2739491462708
36000,1078.678246974945
37000,1128.9288654327393
38000,1179.2369441986084
39000,1231.5360250473022
40000,1283.8950326442719
41000,1335.2923953533173
42000,1387.3045799732208
43000,1440.7687528133392
44000,1493.3841862678528
45000,1546.4855868816376
46000,1598.8172507286072
47000,1651.6804180145264
48000,1706.0119326114655
49000,1757.6172432899475
50000,1810.1377909183502
51000,1861.7892875671387
52000,1914.0950112342834
53000,1966.8912014961243
54000,2019.9826533794403
55000,2072.740685224533
56000,2124.8282821178436
57000,2177.1997497081757
58000,2229.244669675827
59000,2279.652980327606
60000,2330.193731546402
61000,2382.5786061286926
62000,2435.4422976970673
63000,2488.127664089203
64000,2540.0954570770264
65000,2591.8839087486267
66000,2644.320395231247
67000,2695.4074878692627
68000,2746.104863166809
69000,2798.5691611766815
70000,2851.961014986038
71000,2904.530458688736
72000,2957.135322570801
73000,3008.8265268802643
74000,3061.1425065994263
75000,3114.276406764984
76000,3167.0878450870514
77000,3219.4233014583588
78000,3270.0553863048553
79000,3322.6700963974
80000,3376.5595808029175
81000,3429.7769384384155
82000,3483.0523705482483
83000,3536.359914302826
84000,3588.766359090805
85000,3640.5445177555084
86000,3692.7454845905304
87000,3743.873140335083
88000,3797.0287532806396
89000,3849.0098752975464
90000,3900.5958960056305
91000,3952.883337020874
92000,4004.900803565979
93000,4055.9040603637695
94000,4108.076434135437
95000,4160.915411710739
96000,4214.0429656505585
